seller_id,total_orders,late_orders,late_delivery_rate_percent
553a440137d6e0cf776aee0bb83ac9f5,2,1,50.00
559d56f3b8f0bc2e5a9a62fe2ce2a39f,2,1,50.00
5659d77e8d90378e39b960ad5956f64e,2,1,50.00
538caafddff204241cecbf3a02e6b3cf,8,4,50.00
528bcf6680c36dddf07620bd35b33a6f,2,1,50.00
5275ca25d0358ca73864e0ae41be1320,4,2,50.00
4e85b538b0dad58852641540686d0e14,4,2,50.00
4342d4b2ba6b161468c63a7e7cfce593,2,1,50.00
4b98b0428fc1932cc2514ef9ce2505e6,2,1,50.00
324583d68897f5ddbaf38f6248322176,2,1,50.00
3a3e46d10f74d8a6ca76e2b538f106a0,2,1,50.00
fb8904a8ea99f8831b64ce27db2c1765,2,1,50.00
f9d010e39375d9c91dce3f40b73a2f84,4,2,50.00
f682e0f848abafc6f41e0d4e868c66ef,2,1,50.00
f7315bb81aea4ddca2d39e249a801c98,2,1,50.00
eebb3372362aa9a46975164bed19a7e7,4,2,50.00
ec2e006556300a79a5a91e4876ab3a56,2,1,50.00
eb9cd5b35d95206585e2185318cb5c61,2,1,50.00
ec8463980a4e0ea9f8517aea1ed0c419,2,1,50.00
e88165a185134e13fdfc85d4fa654db8,2,1,50.00
e4f121bf6ef8b9a1d4d3e65dd0473fab,2,1,50.00
e09887ca8c7bf8a4621ce481820414ef,2,1,50.00
d8d9567d0bfb0bc7eb845a205ba42657,4,2,50.00
dd4d95ba2d15c071e6c695e2ef6ce169,4,2,50.00
b0b346d3a89f5eb4c2968af3f083cd43,9,4,44.44
95b293867b5862941c9cd74f756a3c68,9,4,44.44
38e6dada03429a47197d5d584d793b41,7,3,42.86
5acd070dd3fe441bbb2ec1f1ede515ee,7,3,42.86
26e2c91ef821e1ff8985f408788fe35b,12,5,41.67
05e107217c7266362fd44b75b2cd4cc4,5,2,40.00
55c96925041a14097b6a7825554f4ad5,5,2,40.00
397c4d0c005b6f41f90098ac724e28cb,5,2,40.00
83b08de96980757220871b31bf6cffca,5,2,40.00
70125af26c2d6d4ef401a1d02ae7701f,5,2,40.00
6ee85be3693ed79a8e80718743d80655,5,2,40.00
6cf476a4ca74498db55cbccdaa9dcfb6,5,2,40.00
fa74b2f3287d296e9fbd2cc80f2d1cf1,5,2,40.00
02dcd3e8e25bee036e32512bcf175493,13,5,38.46
0725b8c0f3f906e58f70cbe76b7c748c,16,6,37.50
3e8bd881d92466e63ba9e3e809cd3c50,8,3,37.50
821fb029fc6e495ca4f08a35d51e53a5,24,9,37.50
c990d6cf976a5718aaedc539f383ab88,8,3,37.50
f76a3b1349b6df1ee875d1f3fa4340f0,24,9,37.50
ede0c03645598cdfc63ca8237acbe73d,43,16,37.21
d9e7e7778b32987280a6f2cb9a39c57d,11,4,36.36
cb41bfbcbda0aea354a834ab222f9a59,11,4,36.36
5b581417df4480f632484ba681e53944,11,4,36.36
02d35243ea2e497335cd0f076b45675d,14,5,35.71
835f0f7810c76831d6c7d24c7a646d4d,42,15,35.71
83f2b4881141ce3fcd4e985125d3279e,3,1,33.33
8a40ae794fa3f9892cee24bd5af0488b,6,2,33.33
8bd0e3abda539b9479c4b44a691be1ec,6,2,33.33
8759e7aedd644f487315e5860962f162,3,1,33.33
88ae906ea2acf6971f26c3e8b7cb4357,3,1,33.33
9539213aa8e023c01937bef95dc006da,9,3,33.33
8fec2e460530482132c436cfb5439925,3,1,33.33
8fbe2ee446b97e128471be4ce983dc0d,3,1,33.33
714b9a1332840f257b49f476bea4e341,6,2,33.33
79a679c36c08d606b3fd47ead9de109b,3,1,33.33
76c47a299e4a8fe992316a85865acbe9,6,2,33.33
c522be04e020c1e7b79f3acff36513d5,6,2,33.33
b87a7ea0c30fad2dd6781b74a0064859,9,3,33.33
ab3e0c171fe84a7ba7de130f19cfb485,6,2,33.33
ab91571efab27993ff2f6b36e38055c3,3,1,33.33
b43d8b707f887a30f4675391098354a0,3,1,33.33
b56828a9f9027f3c918c04ca720d9e3c,3,1,33.33
9b522ba7eae9e1d04082f267144583cc,3,1,33.33
9da1ca0bef29ee170e541927a5aeabdc,6,2,33.33
9e9b539eb2806acee3f5c28085c1db9f,3,1,33.33
a56e351445e5863fc8960640ba9190c7,3,1,33.33
a67780aba9dd436e7ac0aa1f889e73ec,6,2,33.33
aa762680c40618316a896838866140ea,3,1,33.33
03bd479e1d9484cdb14104d3023f7321,3,1,33.33
042573af89b6d931f672efaf789d8358,3,1,33.33
0dfbed20065e425d2eaefb101f9816c0,3,1,33.33
1099a00e0ee3a50935e6c2447ca090c5,3,1,33.33
13dd308f81fea30cc670c656b2b46cc3,3,1,33.33
13fa2a6c6b9d0f43cb588d7c82117a12,9,3,33.33
15ead3a5037a918ddb520dfe39a3d2b9,6,2,33.33
269c5fc9fcadee614364c3620c30a1f9,3,1,33.33
2379bdc3888025689a9deb7b141507d5,9,3,33.33
2ba91c7ad80ff88b23b7db823b43c233,6,2,33.33
191d55f7edb8524d525ed01b20fe32e8,3,1,33.33
1ca4bdb0cd7fc48e949bac066188ed26,3,1,33.33
1d0997ff06b524ce9289ffd75114ecd3,3,1,33.33
5e49e3a44bdeb5aab2684258bbd4f525,3,1,33.33
62760d278921b5f352461620d68a9cee,3,1,33.33
60da8bfa7eebe230b7d66ac4082d79b3,3,1,33.33
578fa3a9cb6b6dceab39231ad59cdaca,3,1,33.33
4fb41dff7c50136976d1a5cf004a42e2,3,1,33.33
52956b80ae65fda598f06f6b9943e7a9,3,1,33.33
3d700782d7818f2c1e0d7a9e9d75fc00,3,1,33.33
3d3ccf2b2f8134b10dce9dd446f0e075,3,1,33.33
31be790e64fc99f8ff48ec2bd18a3104,6,2,33.33
3442f8959a84dea7ee197c632cb2df15,3,1,33.33
35857757f553273b1056c1cabdace7fb,6,2,33.33
48bad451945f5227341793478d6353ea,3,1,33.33
47648caee88ccfe951fbb27fbf7b4cbe,3,1,33.33
d3dcf0604eabf0224fbd5948b5e02f69,9,3,33.33
d7b2377bae6ace1b11fc69a11900ac36,3,1,33.33
e64d65bc8dbec2accda90c58de5d1246,12,4,33.33
e82de6494d91d3c4c54450f59b227a94,3,1,33.33
ebef8d8c92b4fd3226e5d407bbff21ac,3,1,33.33
f6122bc84774df1b372bdb3bb88ddb9f,3,1,33.33
54965bbe3e4f07ae045b90b0b8541f52,73,24,32.88
ad781527c93d00d89a11eecd9dcad7c1,38,12,31.58
b19f3ca2ea475913750f25a5c37c8d8f,19,6,31.58
5f67c6082caacb26e431a7b17940cece,13,4,30.77
13074f016982ff2bd6c58ced8682f000,13,4,30.77
0417b067eeab773d2f7061a726dc477f,13,4,30.77
054694fa03fe82cec4b7551487331d74,20,6,30.00
59cd88080b93f3c18508673122d26169,10,3,30.00
7f152321c60a266edc53af1925ef96c1,20,6,30.00
e504a4e2efaa45cbff7e268a2c58c956,10,3,30.00
d32e3909cfb714fb2a6cb092c85b9c5f,10,3,30.00
ec4608a1f76453166bb312b2968aeaf4,17,5,29.41
c4d51195486dc781531876a7d00453d8,17,5,29.41
7fc87cc3e89b3d1d5cabdca32f8485aa,14,4,28.57
7daca0837f033a41a6f3428c18657533,7,2,28.57
79565f7d5603b24ddf07ade262547f2f,7,2,28.57
6e4a902d1054e4e17aa6eab87fac1c75,7,2,28.57
5b35136197710e16ac5e7b7c2bd4ea85,7,2,28.57
656591be56071d4c9ef4e5fee78a578a,7,2,28.57
4e5725ba188db8252977a4f0227bd462,21,6,28.57
4c61e37f664c3c88aff092aa5ac779d7,7,2,28.57
20b54c376b794ed028df09a3cd88e8dc,7,2,28.57
2c3d56f92f360fb89d849b84e8f50eae,7,2,28.57
2bf28e311bba65237358230cabac3f15,7,2,28.57
f3295428338a40977a03f555246a70f4,7,2,28.57
d5b9a084373da994a6e37f732169a853,7,2,28.57
e3dd723429d1b23614b7fa85e2c7a853,7,2,28.57
822bad9bc42b51213ba522fe87b7ab5d,18,5,27.78
91f0eec23d4a61d7d7caeefa3f0ad1ca,11,3,27.27
eb4df17aed01d918c65f0f8d650900c0,11,3,27.27
2a1348e9addc1af5aaa619b1a3679d6b,48,13,27.08
3a1a1fec38dd360f15fc912e821e169d,15,4,26.67
66e0557ecc2b4dbea057e93f215f68d8,30,8,26.67
a44fb5a447105f8469bdf16bf9159f25,19,5,26.32
a49928bcdf77c55c6d6e05e09a9b4ca5,96,25,26.04
ef990a83bbea832f36ebe81376335aa8,43,11,25.58
f22a247b79dd22ecd91dc8e3b2a1b07c,8,2,25.00
f1b93673502375d491780bb49d615dbc,8,2,25.00
fce62094ffe6a4009188ec44e681dfdd,4,1,25.00
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,5,25.00
e9729944ba65dc3ce425e0c5a22ae7b2,4,1,25.00
e5f9e61ceb5f523cc966e0f34095032f,4,1,25.00
e5d4b2b0c3bca22085f7a19a28de0c42,4,1,25.00
a13aaf2d2886ab9fb30fb9a920160b8f,4,1,25.00
9bc484c87d79cd4874e05ca182658045,8,2,25.00
aeb36d67f1414f234d42a29e27cf1f17,4,1,25.00
b5abf4f36adc043117b4fca82c22984c,8,2,25.00
b5e3e38609125694d2ea2417522a60b7,16,4,25.00
b37c4c02bda3161a7546a4e6d222d5b2,4,1,25.00
c37b2059d4f90d4feead554e5246565e,12,3,25.00
