seller_key,total_orders_shipped,avg_shipping_delay_days,late_dispatched_orders
2711,28,1.71428571428571,4
1024,17,1.70588235294118,2
1670,261,1.69348659003831,44
1261,78,1.69230769230769,4
19,38,1.68421052631579,4
2950,79,1.68354430379747,9
2893,43,1.67441860465116,9
2299,64,1.671875,15
2338,3,1.66666666666667,1
2360,12,1.66666666666667,3
2247,9,1.66666666666667,1
343,3,1.66666666666667,1
358,21,1.66666666666667,5
740,6,1.66666666666667,1
861,3,1.66666666666667,1
2754,12,1.66666666666667,3
1179,53,1.66037735849057,10
2567,34,1.64705882352941,4
2392,11,1.63636363636364,1
760,37,1.62162162162162,7
2626,29,1.62068965517241,4
777,21,1.61904761904762,2
1046,15,1.6,2
1619,5,1.6,1
1637,10,1.6,2
963,64,1.59375,7
1222,17,1.58823529411765,1
1354,31,1.58064516129032,6
208,78,1.57692307692308,11
1573,14,1.57142857142857,3
1550,7,1.57142857142857,2
250,25,1.56,3
1259,11,1.54545454545455,1
1748,92,1.54347826086957,11
1582,26,1.53846153846154,2
709,37,1.51351351351351,6
350,95,1.50526315789474,8
1055,2,1.5,1
998,2,1.5,1
1188,16,1.5,2
1614,44,1.5,7
1434,4,1.5,1
2559,10,1.5,2
2471,16,1.5,2
2952,6,1.5,1
82,397,1.49370277078086,75
1615,49,1.48979591836735,13
821,94,1.47872340425532,12
2698,28,1.46428571428571,2
2675,41,1.46341463414634,4
366,60,1.45,7
1290,35,1.42857142857143,3
1337,19,1.42105263157895,2
1648,19,1.42105263157895,2
2001,19,1.42105263157895,4
2498,126,1.42063492063492,19
2308,36,1.41666666666667,2
2817,34,1.41176470588235,5
388,44,1.40909090909091,5
2278,87,1.40229885057471,6
2291,5,1.4,1
1860,5,1.4,1
1432,5,1.4,1
52,51,1.3921568627451,6
2510,78,1.38461538461538,7
2832,50,1.38,9
2995,220,1.37727272727273,30
54,16,1.375,1
167,163,1.3680981595092,17
1638,315,1.36507936507937,39
1523,11,1.36363636363636,1
2025,134,1.35074626865672,15
3002,90,1.34444444444444,9
805,120,1.34166666666667,16
1162,3,1.33333333333333,1
1113,12,1.33333333333333,3
108,6,1.33333333333333,2
1496,3,1.33333333333333,1
1329,6,1.33333333333333,1
3010,21,1.33333333333333,3
2811,9,1.33333333333333,1
2861,36,1.33333333333333,6
2129,55,1.32727272727273,8
125,51,1.31372549019608,3
2140,110,1.30909090909091,13
1110,13,1.30769230769231,3
178,43,1.30232558139535,6
72,60,1.3,9
1109,10,1.3,1
1898,17,1.29411764705882,3
2361,247,1.2914979757085,25
1541,566,1.28975265017668,64
1485,7,1.28571428571429,1
2400,14,1.28571428571429,1
2196,14,1.28571428571429,1
2066,7,1.28571428571429,2
985,7,1.28571428571429,1
300,14,1.28571428571429,1
1303,36,1.27777777777778,3
87,33,1.27272727272727,4
7,15,1.26666666666667,2
1793,15,1.26666666666667,3
2297,15,1.26666666666667,2
427,23,1.26086956521739,2
855,145,1.2551724137931,10
1071,8,1.25,2
345,4,1.25,1
473,8,1.25,1
226,4,1.25,2
2108,4,1.25,1
1734,4,1.25,1
1268,16,1.25,1
2736,16,1.25,2
2496,12,1.25,1
1678,95,1.23157894736842,12
1472,26,1.23076923076923,3
2282,13,1.23076923076923,1
1757,153,1.22875816993464,19
1895,9,1.22222222222222,1
44,9,1.22222222222222,1
1164,9,1.22222222222222,2
4,55,1.21818181818182,9
936,46,1.21739130434783,2
1122,38,1.21052631578947,4
1456,59,1.20338983050847,5
1275,5,1.2,1
1744,5,1.2,1
2603,10,1.2,1
3017,5,1.2,2
158,193,1.19170984455959,9
2884,84,1.19047619047619,3
2780,63,1.19047619047619,7
3065,297,1.18518518518519,26
2478,166,1.17469879518072,14
248,23,1.17391304347826,2
2601,29,1.17241379310345,3
2888,130,1.16923076923077,10
2975,18,1.16666666666667,1
2784,12,1.16666666666667,3
247,249,1.16465863453815,16
2258,69,1.15942028985507,11
2587,34,1.14705882352941,3
2393,41,1.14634146341463,6
638,7,1.14285714285714,1
2453,14,1.14285714285714,2
962,22,1.13636363636364,1
2768,121,1.13223140495868,9
2826,131,1.12977099236641,13
2490,187,1.1283422459893,12
299,8,1.125,2
2171,158,1.12025316455696,20
1685,17,1.11764705882353,3
2534,9,1.11111111111111,1
2630,54,1.11111111111111,3
2921,9,1.11111111111111,1
2727,55,1.10909090909091,4
495,55,1.10909090909091,8
1304,19,1.10526315789474,1
1998,67,1.1044776119403,5
1056,48,1.10416666666667,4
79,68,1.10294117647059,2
696,30,1.1,3
1812,10,1.1,2
2970,20,1.1,3
1536,1012,1.09683794466403,90
1449,62,1.09677419354839,7
1007,21,1.0952380952381,2
1443,54,1.09259259259259,2
2176,11,1.09090909090909,2
27,11,1.09090909090909,2
70,66,1.09090909090909,3
2663,55,1.09090909090909,3
1510,222,1.08558558558559,25
458,36,1.08333333333333,3
1359,13,1.07692307692308,2
2647,40,1.075,3
2155,153,1.0718954248366,17
2276,14,1.07142857142857,2
1415,98,1.07142857142857,9
1223,120,1.06666666666667,5
402,397,1.05541561712846,33
2515,39,1.05128205128205,5
1681,333,1.04804804804805,33
882,1889,1.04182106934886,176
700,26,1.03846153846154,4
2916,29,1.03448275862069,3
2898,31,1.03225806451613,1
1215,268,1.02611940298507,25
581,43,1.02325581395349,2
2503,65,1.01538461538462,5
1274,75,1.01333333333333,6
1034,201,1.00497512437811,15
1067,8,1,1
970,52,1,7
1187,3,1,1
749,6,1,1
623,3,1,1
646,14,1,1
436,2,1,1
53,11,1,2
131,14,1,1
254,17,1,1
171,6,1,1
195,3,1,1
1295,26,1,2
1387,8,1,1
1730,2,1,1
1665,8,1,1
2264,12,1,2
2394,1,1,1
2287,4,1,1
1913,10,1,1
1908,7,1,1
2468,51,1,2
2721,9,1,2
2635,11,1,2
2895,1,1,1
3013,16,1,1
2774,28,1,2
2859,12,1,1
2860,2,1,1
2845,11,1,3
3059,48,1,3
1468,334,0.997005988023952,30
2596,81,0.987654320987654,6
3025,586,0.984641638225256,53
2872,168,0.982142857142857,12
1553,334,0.982035928143713,27
2679,124,0.975806451612903,16
2997,72,0.972222222222222,5
2918,36,0.972222222222222,3
712,32,0.96875,1
1092,127,0.968503937007874,14
499,30,0.966666666666667,2
48,94,0.957446808510638,7
400,22,0.954545454545455,3
858,1143,0.954505686789151,118
1124,63,0.952380952380952,4
1385,36,0.944444444444444,7
2891,327,0.938837920489297,26
1590,16,0.9375,2
1556,159,0.937106918238994,18
2557,15,0.933333333333333,1
240,29,0.931034482758621,1
1847,85,0.929411764705882,9
17,14,0.928571428571429,2
465,28,0.928571428571429,5
883,68,0.926470588235294,4
1143,94,0.925531914893617,8
369,1473,0.925322471147318,128
1656,49,0.918367346938776,2
2127,84,0.916666666666667,8
772,45,0.911111111111111,5
2971,119,0.907563025210084,8
470,32,0.90625,3
2231,85,0.905882352941176,10
2029,51,0.901960784313726,6
1513,170,0.9,20
310,20,0.9,3
1199,753,0.895086321381142,63
285,494,0.894736842105263,48
281,255,0.890196078431372,19
2131,44,0.886363636363636,5
10,138,0.884057971014493,10
88,17,0.882352941176471,4
2983,17,0.882352941176471,1
2704,34,0.882352941176471,2
1713,49,0.877551020408163,7
55,23,0.869565217391304,1
892,23,0.869565217391304,1
894,220,0.868181818181818,13
647,233,0.866952789699571,19
539,45,0.866666666666667,4
164,52,0.865384615384615,6
1362,44,0.863636363636364,4
419,29,0.862068965517241,3
579,7,0.857142857142857,1
1639,427,0.857142857142857,32
1170,69,0.855072463768116,4
1545,179,0.854748603351955,16
188,34,0.852941176470588,4
1559,93,0.849462365591398,6
334,125,0.848,19
555,203,0.847290640394089,21
3056,72,0.847222222222222,7
2486,763,0.834862385321101,35
2428,30,0.833333333333333,4
349,12,0.833333333333333,1
828,6,0.833333333333333,2
1373,12,0.833333333333333,2
1875,66,0.833333333333333,7
1959,12,0.833333333333333,2
1709,950,0.832631578947368,81
1364,35,0.828571428571429,4
2449,128,0.828125,10
1336,58,0.827586206896552,4
909,261,0.827586206896552,24
3052,17,0.823529411764706,2
2732,39,0.82051282051282,5
1105,39,0.82051282051282,1
713,155,0.819354838709677,9
584,11,0.818181818181818,1
1284,98,0.816326530612245,14
2044,54,0.814814814814815,5
2577,70,0.814285714285714,3
1116,16,0.8125,1
1219,37,0.810810810810811,2
80,47,0.808510638297872,1
1772,88,0.806818181818182,12
2180,40,0.8,2
2272,5,0.8,1
122,5,0.8,1
57,10,0.8,1
2527,80,0.8,5
65,63,0.793650793650794,5
1564,24,0.791666666666667,3
1561,338,0.789940828402367,15
2764,71,0.788732394366197,6
258,402,0.786069651741294,32
1375,315,0.784126984126984,29
231,23,0.782608695652174,2
2958,188,0.781914893617021,13
1635,32,0.78125,5
669,547,0.780621572212066,45
2864,104,0.778846153846154,9
2976,9,0.777777777777778,1
98,9,0.777777777777778,1
1932,9,0.777777777777778,1
2992,62,0.774193548387097,3
37,44,0.772727272727273,3
1458,17,0.764705882352941,2
301,25,0.76,2
64,12,0.75,1
255,8,0.75,2
935,4,0.75,1
1946,16,0.75,3
2403,59,0.745762711864407,2
420,23,0.739130434782609,3
1392,328,0.73780487804878,23
990,174,0.735632183908046,15
2381,15,0.733333333333333,2
1293,26,0.730769230769231,2
2644,1438,0.729485396383866,93
2819,660,0.728787878787879,39
1717,11,0.727272727272727,1
1926,22,0.727272727272727,1
1396,62,0.725806451612903,5
78,62,0.725806451612903,4
2960,83,0.72289156626506,9
691,18,0.722222222222222,1
1517,97,0.721649484536082,4
2,201,0.721393034825871,12
3003,92,0.717391304347826,9
2586,7,0.714285714285714,1
483,28,0.714285714285714,4
913,7,0.714285714285714,1
1547,7,0.714285714285714,1
293,440,0.713636363636364,33
1831,177,0.711864406779661,6
330,145,0.710344827586207,5
519,31,0.709677419354839,2
416,72,0.708333333333333,6
2709,54,0.703703703703704,4
1017,74,0.702702702702703,8
1957,10,0.7,2
2402,10,0.7,1
1647,13,0.692307692307692,1
996,90,0.688888888888889,9
2493,45,0.688888888888889,2
535,16,0.6875,2
133,112,0.6875,6
2837,1169,0.686056458511548,99
3039,22,0.681818181818182,2
1519,22,0.681818181818182,3
138,25,0.68,2
1382,109,0.678899082568807,7
6,161,0.677018633540373,10
1025,485,0.670103092783505,23
1205,3,0.666666666666667,1
744,9,0.666666666666667,2
661,6,0.666666666666667,1
283,57,0.666666666666667,5
278,126,0.666666666666667,7
243,6,0.666666666666667,1
471,33,0.666666666666667,2
373,78,0.666666666666667,4
1343,9,0.666666666666667,1
1574,9,0.666666666666667,1
1629,12,0.666666666666667,1
1673,3,0.666666666666667,1
1989,256,0.6640625,11
221,74,0.662162162162162,6
2664,239,0.661087866108787,15
3027,333,0.657657657657658,17
2710,29,0.655172413793103,2
1747,107,0.654205607476635,6
1506,1166,0.653516295025729,60
2100,20,0.65,3
3094,60,0.65,7
2424,354,0.638418079096045,26
2195,11,0.636363636363636,1
2695,93,0.634408602150538,4
553,127,0.62992125984252,16
474,8,0.625,1
522,8,0.625,1
890,8,0.625,1
2113,16,0.625,2
2047,24,0.625,1
2794,24,0.625,2
2147,338,0.624260355029586,22
2936,93,0.623655913978495,8
1997,171,0.619883040935672,18
2313,197,0.619289340101523,10
948,420,0.619047619047619,37
642,13,0.615384615384615,2
618,78,0.615384615384615,9
698,109,0.614678899082569,7
503,164,0.609756097560976,4
1543,69,0.608695652173913,2
22,61,0.60655737704918,3
262,53,0.60377358490566,4
938,63,0.603174603174603,4
2823,218,0.600917431192661,16
1060,5,0.6,1
1073,30,0.6,4
160,40,0.6,4
840,59,0.593220338983051,3
2688,177,0.593220338983051,12
2821,22,0.590909090909091,1
2959,209,0.588516746411483,12
1365,80,0.5875,9
1993,138,0.58695652173913,12
1372,213,0.586854460093897,16
291,121,0.586776859504132,6
1679,29,0.586206896551724,2
421,41,0.585365853658537,5
110,12,0.583333333333333,1
910,48,0.583333333333333,5
1851,24,0.583333333333333,2
2535,12,0.583333333333333,2
193,953,0.581322140608604,73
3050,62,0.580645161290323,2
2509,19,0.578947368421053,1
1649,95,0.578947368421053,9
1054,175,0.577142857142857,11
750,40,0.575,4
2650,47,0.574468085106383,4
2928,54,0.574074074074074,4
3026,7,0.571428571428571,1
2563,28,0.571428571428571,1
1348,7,0.571428571428571,1
1239,7,0.571428571428571,2
2006,7,0.571428571428571,1
2672,109,0.568807339449541,6
2548,39,0.564102564102564,1
2628,55,0.563636363636364,3
1255,162,0.561728395061728,7
2812,41,0.560975609756098,3
189,25,0.56,1
348,43,0.558139534883721,1
433,165,0.557575757575758,7
338,9,0.555555555555556,1
105,18,0.555555555555556,2
724,9,0.555555555555556,1
635,36,0.555555555555556,1
1476,9,0.555555555555556,1
2344,9,0.555555555555556,1
2944,9,0.555555555555556,1
1606,103,0.553398058252427,6
1379,78,0.551282051282051,6
2543,225,0.551111111111111,15
2561,20,0.55,2
2810,31,0.548387096774194,3
796,104,0.548076923076923,8
2512,205,0.546341463414634,10
2834,33,0.545454545454545,1
896,11,0.545454545454545,1
261,11,0.545454545454545,1
2530,13,0.538461538461538,1
583,54,0.537037037037037,6
735,95,0.536842105263158,10
2321,28,0.535714285714286,3
844,527,0.535104364326376,29
2146,30,0.533333333333333,3
2138,107,0.532710280373832,13
2523,156,0.532051282051282,14
732,1125,0.531555555555556,61
316,113,0.530973451327434,5
2191,17,0.529411764705882,2
2255,17,0.529411764705882,1
1203,55,0.527272727272727,4
166,132,0.522727272727273,5
785,201,0.522388059701492,10
2589,23,0.521739130434783,1
2979,23,0.521739130434783,2
2793,29,0.517241379310345,2
442,159,0.515723270440252,11
549,167,0.514970059880239,10
1825,1290,0.509302325581395,77
152,165,0.509090909090909,10
76,55,0.509090909090909,2
156,65,0.507692307692308,3
572,89,0.50561797752809,3
543,10,0.5,2
462,2,0.5,1
341,40,0.5,3
81,4,0.5,1
771,8,0.5,1
807,46,0.5,4
711,30,0.5,1
664,28,0.5,1
1100,14,0.5,1
1191,10,0.5,1
1958,4,0.5,1
1924,2,0.5,1
1896,14,0.5,1
2080,8,0.5,1
2228,14,0.5,1
2347,14,0.5,1
1271,24,0.5,3
1300,82,0.5,3
1444,56,0.5,1
2808,8,0.5,1
2982,32,0.5,3
2933,192,0.5,14
200,35,0.485714285714286,4
2598,93,0.483870967741935,5
1592,29,0.482758620689655,1
812,102,0.480392156862745,7
1480,21,0.476190476190476,2
2097,17,0.470588235294118,2
1154,328,0.469512195121951,18
1102,15,0.466666666666667,1
90,15,0.466666666666667,1
1758,15,0.466666666666667,1
2592,60,0.466666666666667,3
1749,65,0.461538461538462,4
1052,13,0.461538461538462,1
2283,89,0.460674157303371,2
74,61,0.459016393442623,2
2269,24,0.458333333333333,2
1462,136,0.455882352941176,13
1939,398,0.454773869346734,16
1341,11,0.454545454545455,1
319,11,0.454545454545455,2
417,11,0.454545454545455,1
1418,31,0.451612903225806,1
1627,100,0.45,6
586,29,0.448275862068966,2
397,415,0.448192771084337,18
2064,130,0.446153846153846,5
2382,9,0.444444444444444,1
1822,9,0.444444444444444,1
1238,9,0.444444444444444,1
425,36,0.444444444444444,1
1808,68,0.441176470588235,3
323,84,0.44047619047619,5
3082,46,0.434782608695652,6
107,74,0.432432432432432,4
352,44,0.431818181818182,3
390,7,0.428571428571429,1
518,7,0.428571428571429,2
655,7,0.428571428571429,1
1587,7,0.428571428571429,1
1370,77,0.428571428571429,3
2384,7,0.428571428571429,2
2739,7,0.428571428571429,1
1955,726,0.428374655647383,35
1613,66,0.424242424242424,4
1994,26,0.423076923076923,1
2726,19,0.421052631578947,1
2801,19,0.421052631578947,1
608,43,0.418604651162791,1
1254,153,0.418300653594771,11
1850,12,0.416666666666667,1
806,12,0.416666666666667,1
2439,84,0.416666666666667,6
101,82,0.414634146341463,1
2627,174,0.413793103448276,4
2655,109,0.412844036697248,4
1662,17,0.411764705882353,1
201,39,0.41025641025641,2
1827,22,0.409090909090909,1
2903,22,0.409090909090909,1
1589,179,0.407821229050279,8
392,32,0.40625,3
26,242,0.40495867768595,11
2405,302,0.403973509933775,17
1728,67,0.402985074626866,4
1663,15,0.4,1
1347,30,0.4,2
265,5,0.4,1
284,5,0.4,1
802,20,0.4,1
676,5,0.4,2
667,5,0.4,1
991,5,0.4,1
1115,10,0.4,1
2957,5,0.4,1
2482,1720,0.397674418604651,87
907,63,0.396825396825397,4
2431,58,0.396551724137931,2
214,533,0.393996247654784,22
867,33,0.393939393939394,1
1849,33,0.393939393939394,1
1963,66,0.393939393939394,4
2310,117,0.393162393162393,6
398,159,0.389937106918239,10
736,18,0.388888888888889,1
1867,36,0.388888888888889,2
1236,1982,0.386478304742684,101
1413,342,0.385964912280702,14
1661,13,0.384615384615385,1
1873,52,0.384615384615385,6
2980,26,0.384615384615385,2
924,374,0.382352941176471,15
2962,110,0.381818181818182,6
353,284,0.380281690140845,13
468,29,0.379310344827586,2
1819,66,0.378787878787879,4
423,53,0.377358490566038,5
1137,32,0.375,3
1759,8,0.375,1
1489,24,0.375,2
1366,128,0.375,6
2073,48,0.375,2
2578,19,0.368421052631579,2
2623,19,0.368421052631579,1
2734,68,0.367647058823529,3
270,30,0.366666666666667,2
475,101,0.366336633663366,4
502,52,0.365384615384615,3
1206,22,0.363636363636364,1
739,55,0.363636363636364,5
1928,11,0.363636363636364,1
1409,11,0.363636363636364,1
1386,136,0.360294117647059,5
829,14,0.357142857142857,1
367,28,0.357142857142857,3
2499,31,0.354838709677419,2
1915,99,0.353535353535354,4
1310,17,0.352941176470588,1
2924,17,0.352941176470588,1
2963,20,0.35,1
548,20,0.35,3
1334,169,0.349112426035503,9
1736,212,0.349056603773585,13
2668,46,0.347826086956522,2
2212,26,0.346153846153846,2
1636,188,0.345744680851064,9
1886,174,0.344827586206897,7
1518,32,0.34375,3
819,41,0.341463414634146,2
1503,62,0.338709677419355,4
705,83,0.337349397590361,6
2549,567,0.335097001763668,27
2977,3,0.333333333333333,1
2796,6,0.333333333333333,1
3064,9,0.333333333333333,1
847,3,0.333333333333333,1
1121,27,0.333333333333333,1
585,6,0.333333333333333,2
1712,15,0.333333333333333,2
1797,3,0.333333333333333,1
1885,48,0.333333333333333,3
1964,9,0.333333333333333,1
2068,3,0.333333333333333,1
1973,6,0.333333333333333,1
2172,33,0.333333333333333,2
1014,358,0.332402234636872,12
2351,122,0.327868852459016,14
1414,49,0.326530612244898,2
2198,31,0.32258064516129,4
1185,118,0.322033898305085,2
1053,262,0.320610687022901,8
2881,25,0.32,2
575,22,0.318181818181818,1
1979,44,0.318181818181818,2
1568,22,0.318181818181818,2
1266,19,0.315789473684211,1
2846,19,0.315789473684211,1
1927,73,0.315068493150685,2
2070,89,0.314606741573034,6
2200,160,0.3125,5
2660,16,0.3125,1
3006,670,0.308955223880597,28
2492,26,0.307692307692308,1
2224,39,0.307692307692308,2
1112,13,0.307692307692308,2
2809,88,0.306818181818182,3
1020,163,0.306748466257669,6
148,173,0.30635838150289,6
446,108,0.305555555555556,3
1799,345,0.304347826086957,16
2908,69,0.304347826086957,7
1586,99,0.303030303030303,3
1450,43,0.302325581395349,2
733,43,0.302325581395349,1
852,210,0.3,10
810,20,0.3,1
504,10,0.3,2
151,30,0.3,1
2572,30,0.3,2
3001,10,0.3,1
1225,67,0.298507462686567,7
905,27,0.296296296296296,1
2160,44,0.295454545454545,2
2458,207,0.294685990338164,4
25,129,0.294573643410853,7
1551,41,0.292682926829268,2
1535,24,0.291666666666667,1
2111,24,0.291666666666667,1
1987,24,0.291666666666667,2
547,24,0.291666666666667,1
24,31,0.290322580645161,1
2194,63,0.285714285714286,4
1608,21,0.285714285714286,1
2965,21,0.285714285714286,2
1402,53,0.283018867924528,2
326,202,0.282178217821782,9
2702,78,0.282051282051282,1
1657,306,0.281045751633987,12
2657,414,0.280193236714976,10
2317,43,0.27906976744186,2
2354,122,0.278688524590164,5
2526,18,0.277777777777778,1
3040,18,0.277777777777778,1
2086,65,0.276923076923077,2
3090,29,0.275862068965517,1
2210,33,0.272727272727273,1
1766,22,0.272727272727273,1
1498,143,0.272727272727273,6
2690,342,0.271929824561404,12
2651,137,0.27007299270073,5
2223,63,0.26984126984127,2
1097,126,0.26984126984127,7
320,56,0.267857142857143,1
36,30,0.266666666666667,1
1086,45,0.266666666666667,1
2508,15,0.266666666666667,1
3000,120,0.266666666666667,6
2357,19,0.263157894736842,1
1572,38,0.263157894736842,1
682,23,0.260869565217391,2
659,46,0.260869565217391,3
119,27,0.259259259259259,1
11,109,0.256880733944954,4
1625,47,0.25531914893617,1
1837,71,0.253521126760563,2
2365,12,0.25,1
2259,16,0.25,2
1491,8,0.25,2
104,4,0.25,1
218,4,0.25,1
235,8,0.25,1
333,4,0.25,1
673,16,0.25,2
674,8,0.25,1
1126,4,0.25,1
1175,28,0.25,1
1146,32,0.25,1
954,8,0.25,1
2818,4,0.25,1
2775,4,0.25,1
2525,20,0.25,1
2432,4,0.25,1
2615,4,0.25,1
1755,78,0.243589743589744,3
1716,33,0.242424242424242,1
2153,33,0.242424242424242,1
2115,46,0.239130434782609,2
307,168,0.238095238095238,6
378,21,0.238095238095238,1
100,126,0.238095238095238,5
1654,181,0.237569060773481,4
2238,38,0.236842105263158,2
820,144,0.236111111111111,5
2551,17,0.235294117647059,1
653,273,0.234432234432234,7
2781,43,0.232558139534884,2
1920,13,0.230769230769231,1
180,48,0.229166666666667,1
