cohort_month,months_since_first_purchase,active_customers,cohort_size,retention_percent
201803,0,6965,6965,100.00
201803,1,32,6965,0.46
201803,2,22,6965,0.32
201803,3,20,6965,0.29
201803,4,9,6965,0.13
201803,5,9,6965,0.13
201804,0,6711,6711,100.00
201804,1,39,6711,0.58
201804,2,21,6711,0.31
201804,3,16,6711,0.24
201804,4,9,6711,0.13
201805,0,6622,6622,100.00
201805,1,35,6622,0.53
201805,2,18,6622,0.27
201805,3,14,6622,0.21
201806,0,5940,5940,100.00
201806,1,25,5940,0.42
201806,2,17,5940,0.29
201806,4,1,5940,0.02
201807,0,6071,6071,100.00
201807,1,44,6071,0.72
201807,2,2,6071,0.03
201808,0,6271,6271,100.00
201808,1,7,6271,0.11
201808,2,2,6271,0.03
201809,0,5,5,100.00
201810,0,1,1,100.00
